Processing Batch 650... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 660... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 670... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 680... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 690... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 700... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 710... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 720... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 730... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 740... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 750... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 760... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 770... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 780... RAM: 66.8% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 790... RAM: 66.8% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 800... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 810... RAM: 66.8% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 820... RAM: 66.8% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 830... RAM: 66.8% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 840... RAM: 66.8% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 850... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 860... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 870... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 880... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 890... RAM: 66.8% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 900... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 910... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 920... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 930... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 940... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 950... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 960... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 970... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 980... RAM: 66.9% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 990... RAM: 67.0% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1000... RAM: 67.0% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1010... RAM: 67.0% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1020... RAM: 67.0% (21.3GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1030... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1040... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1050... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1060... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1070... RAM: 66.3% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1080... RAM: 66.3% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1090... RAM: 66.3% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1100... RAM: 66.3% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1110... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1120... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1130... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1140... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1150... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1160... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1170... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1180... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1190... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1200... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1210... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1220... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1230... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1240... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1250... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1260... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1270... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1280... RAM: 66.8% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1290... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 1300... RAM: 66.8% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
